Region,Birth Rate,CO2 Emissions,Energy Usage,GDP,Health Exp/Capita,Lending Interest,Life Expectancy Female,Life Expectancy Male,Population Total
Africa,0.02,87931,26998,54790058957,60,0.1,71,67,31719449
Africa,0.05,9542,7499,9129594819,22,1.032,47,44,13924930
Africa,0.043,1617,1983,2359122303,15,,57,53,6949366
Africa,0.027,4276,1836,5788311645,152,0.155,52,49,1755375
Africa,0.046,1041,,2610959139,12,,52,49,11607944
Africa,0.042,301,,870486066,7,0.158,49,47,6674286
Africa,0.041,3432,6310,9287367569,26,0.22,53,51,15927713
Africa,0.039,268,,914500332,11,0.22,45,42,3638316
Africa,0.051,176,,1385058212,10,0.22,48,46,8301151
Africa,0.039,84,,201899884,13,0.12,59,56,528312
Africa,0.048,1646,16679,19088046305,14,,48,45,46949244
Africa,0.039,1049,814,3219910666,22,0.22,53,51,3126204
Africa,0.038,6791,6734,10417060605,42,,47,46,16131332
Africa,0.03,403,,551230862,44,,59,55,722887
Africa,0.025,141326,40658,99838540997,79,0.132,71,66,66136590
Africa,0.04,455,,1045998534,57,0.22,49,46,518179
Africa,0.04,609,708,706370812,7,,58,54,3939348
Africa,0.044,5831,25242,8091384891,5,0.109,53,51,66024199
Africa,0.034,1052,1463,5067865503,118,0.22,61,59,1225527
Africa,0.045,275,,782913866,29,0.24,56,54,1228863
Africa,0.035,6289,7736,4982849054,13,,58,56,18825034
Africa,0.042,1280,,2995360969,19,0.194,51,51,8746128
Africa,0.042,147,,361858968,16,,53,50,1273312
Africa,0.039,10418,14055,12705350153,19,0.223,54,52,31285050
Africa,0.031,,,771200632,29,0.171,48,47,1856225
Africa,0.043,436,,529064647,11,0.205,53,52,2891968
Africa,0.022,47114,15901,33896600871,252,0.07,74,70,5176185
Africa,0.041,1874,,3877673635,12,0.265,60,57,15744811
Africa,0.045,906,,1743506287,9,0.531,46,46,11321496
Africa,0.048,543,,2422482318,16,,49,49,10260577
Africa,0.038,1236,,1293653473,24,0.256,61,58,2708095
Africa,0.017,2769,,4582562398,146,0.208,75,68,1186873
Africa,0.022,33905,10238,37020609825,54,0.133,70,67,28710123
Africa,0.044,1349,7173,4310090791,15,0.19,49,46,18275618
Africa,0.032,1643,978,3908645566,126,0.153,57,53,1897953
Africa,0.053,796,,1798374533,10,,51,51,10989815
Africa,0.043,79182,90596,46385996027,17,0.213,47,46,122876727
Africa,0.041,686,,1734938190,9,0.17,49,47,8395577
Africa,0.036,48,,76709305,46,0.397,65,62,139428
Africa,0.04,3938,2398,4679604922,22,,59,56,9861679
Africa,0.019,565,,614877971,371,0.107,,,81131
Africa,0.044,425,,635874002,28,0.263,39,37,4139757
Africa,0.049,517,,,,,52,49,7385416
Africa,0.024,368611,109264,132878000000,246,0.145,58,54,44000000
Africa,0.043,,,,,,50,48,6652984
Africa,0.04,5534,13340,12257299163,15,,60,56,27729798
Africa,0.033,1188,,1524490159,75,0.14,49,48,1063715
Africa,0.042,2651,13390,10185786171,10,0.216,51,49,34020512
Africa,0.039,1357,2111,1294250280,14,,54,53,4864753
Africa,0.017,19923,7306,21473188882,123,,75,71,9563500
Africa,0.048,1533,,6193246632,16,0.229,48,48,24275641
Africa,0.045,1819,6244,3253551750,18,0.388,42,42,10100981
Africa,0.032,13887,9865,6689957610,,0.682,44,44,12503652
Asia,0.05,781,,,,,56,54,20595360
Asia,0.013,3465,2015,1911563665,39,0.316,75,68,3076098
